@id	db_name	ext_id	link
ENSG00000000419	Ensembl	ENSG00000000419	https://identifiers.org/ensembl:ENSG00000000419
ENSG00000000419	Protein Atlas	ENSG00000000419	https://identifiers.org/hpa:ENSG00000000419
ENSG00000000419	NCBI Gene	8813	https://identifiers.org/ncbigene:8813
ENSG00000000419	UniProt	O60762	https://identifiers.org/uniprot:O60762
ENSG00000000938	Ensembl	ENSG00000000938	https://identifiers.org/ensembl:ENSG00000000938
ENSG00000000938	Protein Atlas	ENSG00000000938	https://identifiers.org/hpa:ENSG00000000938
ENSG00000000938	UniProt	P09769	https://identifiers.org/uniprot:P09769
ENSG00000000938	NCBI Gene	2268	https://identifiers.org/ncbigene:2268
ENSG00000001036	Ensembl	ENSG00000001036	https://identifiers.org/ensembl:ENSG00000001036
ENSG00000001036	Protein Atlas	ENSG00000001036	https://identifiers.org/hpa:ENSG00000001036
ENSG00000001036	UniProt	Q9BTY2	https://identifiers.org/uniprot:Q9BTY2
ENSG00000001036	NCBI Gene	2519	https://identifiers.org/ncbigene:2519
ENSG00000001084	Ensembl	ENSG00000001084	https://identifiers.org/ensembl:ENSG00000001084
ENSG00000001084	Protein Atlas	ENSG00000001084	https://identifiers.org/hpa:ENSG00000001084
ENSG00000001084	UniProt	P48506	https://identifiers.org/uniprot:P48506
ENSG00000001084	NCBI Gene	2729	https://identifiers.org/ncbigene:2729
ENSG00000001630	Ensembl	ENSG00000001630	https://identifiers.org/ensembl:ENSG00000001630
ENSG00000001630	Protein Atlas	ENSG00000001630	https://identifiers.org/hpa:ENSG00000001630
ENSG00000001630	NCBI Gene	1595	https://identifiers.org/ncbigene:1595
ENSG00000001630	UniProt	Q16850	https://identifiers.org/uniprot:Q16850
ENSG00000002549	Ensembl	ENSG00000002549	https://identifiers.org/ensembl:ENSG00000002549
ENSG00000002549	Protein Atlas	ENSG00000002549	https://identifiers.org/hpa:ENSG00000002549
ENSG00000002549	UniProt	P28838	https://identifiers.org/uniprot:P28838
ENSG00000002549	NCBI Gene	51056	https://identifiers.org/ncbigene:51056
ENSG00000002587	Ensembl	ENSG00000002587	https://identifiers.org/ensembl:ENSG00000002587
ENSG00000002587	Protein Atlas	ENSG00000002587	https://identifiers.org/hpa:ENSG00000002587
ENSG00000002587	UniProt	O14792	https://identifiers.org/uniprot:O14792
ENSG00000002587	NCBI Gene	9957	https://identifiers.org/ncbigene:9957
ENSG00000002726	Ensembl	ENSG00000002726	https://identifiers.org/ensembl:ENSG00000002726
ENSG00000002726	Protein Atlas	ENSG00000002726	https://identifiers.org/hpa:ENSG00000002726
ENSG00000002726	UniProt	P19801	https://identifiers.org/uniprot:P19801
ENSG00000002726	NCBI Gene	26	https://identifiers.org/ncbigene:26
ENSG00000002746	Ensembl	ENSG00000002746	https://identifiers.org/ensembl:ENSG00000002746
ENSG00000002746	Protein Atlas	ENSG00000002746	https://identifiers.org/hpa:ENSG00000002746
ENSG00000002746	UniProt	Q76N89	https://identifiers.org/uniprot:Q76N89
ENSG00000002746	NCBI Gene	23072	https://identifiers.org/ncbigene:23072
ENSG00000003137	Ensembl	ENSG00000003137	https://identifiers.org/ensembl:ENSG00000003137
ENSG00000003137	Protein Atlas	ENSG00000003137	https://identifiers.org/hpa:ENSG00000003137
ENSG00000003137	UniProt	Q9NR63	https://identifiers.org/uniprot:Q9NR63
ENSG00000003137	NCBI Gene	56603	https://identifiers.org/ncbigene:56603
ENSG00000003987	Ensembl	ENSG00000003987	https://identifiers.org/ensembl:ENSG00000003987
ENSG00000003987	Protein Atlas	ENSG00000003987	https://identifiers.org/hpa:ENSG00000003987
ENSG00000003987	UniProt	Q9Y216	https://identifiers.org/uniprot:Q9Y216
