@id	db_name	ext_id	link
m00001c	BiGG	carveol	https://identifiers.org/bigg.metabolite:carveol
m00001c	KEGG	C00964	https://identifiers.org/kegg.compound:C00964
m00001c	ChEBI	CHEBI:15389	https://identifiers.org/CHEBI:CHEBI:15389
m00001c	Recon3D	carveol	https://identifiers.org/vmhmetabolite:carveol
m00001c	MetaNetX	MNXM45735	https://identifiers.org/metanetx.chemical:MNXM45735
m00001s	BiGG	carveol	https://identifiers.org/bigg.metabolite:carveol
m00001s	KEGG	C00964	https://identifiers.org/kegg.compound:C00964
m00001s	ChEBI	CHEBI:15389	https://identifiers.org/CHEBI:CHEBI:15389
m00001s	Recon3D	carveol	https://identifiers.org/vmhmetabolite:carveol
m00001s	MetaNetX	MNXM45735	https://identifiers.org/metanetx.chemical:MNXM45735
m00002c	BiGG	appnn	https://identifiers.org/bigg.metabolite:appnn
m00002c	KEGG	C09880	https://identifiers.org/kegg.compound:C09880
m00002c	HMDB	HMDB0006525	https://identifiers.org/hmdb:HMDB0006525
m00002c	ChEBI	CHEBI:36740	https://identifiers.org/CHEBI:CHEBI:36740
m00002c	PubChem	6654	https://identifiers.org/pubchem.compound:6654
m00002c	Recon3D	appnn	https://identifiers.org/vmhmetabolite:appnn
m00002c	MetaNetX	MNXM163755	https://identifiers.org/metanetx.chemical:MNXM163755
m00002s	BiGG	appnn	https://identifiers.org/bigg.metabolite:appnn
m00002s	KEGG	C09880	https://identifiers.org/kegg.compound:C09880
m00002s	HMDB	HMDB0006525	https://identifiers.org/hmdb:HMDB0006525
m00002s	ChEBI	CHEBI:36740	https://identifiers.org/CHEBI:CHEBI:36740
m00002s	PubChem	6654	https://identifiers.org/pubchem.compound:6654
m00002s	Recon3D	appnn	https://identifiers.org/vmhmetabolite:appnn
m00002s	MetaNetX	MNXM163755	https://identifiers.org/metanetx.chemical:MNXM163755
m00003c	LipidMaps	LMFA01030283	https://identifiers.org/lipidmaps:LMFA01030283
m00003c	Recon3D	M00003	https://identifiers.org/vmhmetabolite:M00003
m00003c	MetaNetX	MNXM150165	https://identifiers.org/metanetx.chemical:MNXM150165
m00003c	MetaNetX	MNXM27815	https://identifiers.org/metanetx.chemical:MNXM27815
m00003l	LipidMaps	LMFA01030283	https://identifiers.org/lipidmaps:LMFA01030283
m00003l	Recon3D	M00003	https://identifiers.org/vmhmetabolite:M00003
m00003l	MetaNetX	MNXM150165	https://identifiers.org/metanetx.chemical:MNXM150165
m00003l	MetaNetX	MNXM27815	https://identifiers.org/metanetx.chemical:MNXM27815
m00003r	LipidMaps	LMFA01030283	https://identifiers.org/lipidmaps:LMFA01030283
m00003r	Recon3D	M00003	https://identifiers.org/vmhmetabolite:M00003
