# TO BE USED TO INSERT MODEL ANNOTATIONS IN METABOLIC ATLAS DATABASE
# for REACTION ONLY
# annotations will be visible in the GEM browser pages and some can be used by the search engine
#
# some rules:
# this is a TAB separated file, thus TABs are not allowed in any field values
# each line added must have exactly 3 columns to be parsed properly
# do not modify the @ line
# column 'id' is mandatory, other columns are optional
# follow the max size limits
#
# columns description:
# column name    | description
# -----------------------------------------
# ec             | EC code, semicolon separated values
# pmid           | PMID, semicolon separated values
#
@id	ec	pmid
HMR_3905	EC:1.1.1.1; EC:1.1.1.71	10868354; 12491384; 12818203; 14674758; 15289102; 15299346; 15327949; 15682493; 15713978
HMR_3907	EC:1.1.1.2	
HMR_4097	EC:6.2.1.1	10843999; 11150295; 2884217; 4737256; 5995
HMR_4099	EC:6.2.1.1	10843999; 11150295; 2884217; 4737256; 5995
HMR_4108	EC:6.2.1.1	10843999; 14086739; 238571; 2901103
HMR_4133	EC:6.2.1.1	10843999; 14086739; 238571; 2901103
HMR_4137	EC:1.2.4.1; EC:2.3.1.12; EC:1.8.1.4; EC:1.2.1.51	11079566; 2643922; 8548923
HMR_4281	EC:1.1.1.27	12042361; 17045662; 7449128; 9927705
HMR_4388	EC:1.1.1.27	12042361; 17045662; 7449128; 9927705
HMR_4283	EC:1.2.1.5	16411662; 2060039; 7779080; 8155713; 8605195; 9228057
HMR_8357	EC:1.2.1.3	
HMR_4379	EC:2.7.1.11	12049998; 5667967
HMR_4301	EC:2.7.1.11	11945275; 4276999
HMR_4355	EC:4.1.2.13	10214945; 2198022; 4052378; 4084320; 6952783
HMR_4358	EC:2.7.1.40	1009117; 7154942
HMR_4360	EC:1.2.1.49	20958; 4383524; 4391087; 6014; 7107625; 7107626; 7144586; 7763257; 7993370
HMR_4362	EC:2.7.9.2	
HMR_4363	EC:4.2.1.11	3536714; 7357031
HMR_4365	EC:5.4.2.11	2840859; 6322090; 9688259
HMR_4368	EC:2.7.2.3	367367; 4203909
HMR_4370	EC:3.6.1.7	
HMR_4371	EC:5.4.2.1; EC:5.4.2.4	
HMR_4372	EC:3.1.3.13	
HMR_4373	EC:1.2.1.12	12027953; 14993695; 3370218; 7144574
HMR_4375	EC:4.1.2.13	10641038; 10797566; 12417303; 12676688; 1392515; 2752067
HMR_4377	EC:3.1.3.11	15295071; 214743; 3032541
HMR_4381	EC:5.3.1.9	2272676; 2843500
HMR_4391	EC:5.3.1.1	1168838; 15262334; 15522269; 1959537; 2339591
HMR_4394	EC:2.7.1.1; EC:2.7.1.2; EC:2.7.1.147	16906315; 7061426; 7150652; 8717435
HMR_4396	EC:5.4.2.2; EC:5.4.2.5; EC:5.4.2.6; EC:5.2.2.2	600270
HMR_4521	EC:3.1.3.9	12101013; 12485600; 1662952; 6291517; 6321405; 6935637
HMR_6410	EC:1.2.4.1	18032470; 2323578; 2748588
HMR_6412	EC:2.3.1.12	12108679; 14741190
HMR_7745	EC:5.1.3.3	
HMR_7746	EC:2.7.1.1; EC:2.7.1.2	
HMR_7747	EC:2.7.1.147	
HMR_7748	EC:5.3.1.9	
HMR_7749	EC:5.3.1.9	
HMR_8360	EC:1.11.1.6	
HMR_8652	EC:3.1.3.9	
HMR_8757		
HMR_3989	EC:3.2.1.20	1885588; 2141837; 3128290; 6362728; 7358666
HMR_4122	EC:1.1.1.22	9737970; 9850599
HMR_4837	EC:3.2.1.28	5125320; 8222277; 8773341; 9427547
HMR_5395	EC:2.4.1.186	12133002; 4475632; 5810070
HMR_5396	EC:2.4.1.11	12133002; 4475632; 5810070
HMR_9727	EC:2.4.1.11	
HMR_5397	EC:2.4.1.18	12133002; 4475632; 5810070
HMR_5398	EC:2.4.1.1	12133002; 4475632; 5810070
HMR_5399	EC:2.4.1.25	12133002; 4475632; 5810070
HMR_5400	EC:3.2.1.33	12133002; 4475632; 5810070
HMR_5401	EC:2.4.1.1	12133002; 4475632; 5810070
HMR_8568	EC:3.2.1.1	
HMR_8569	EC:3.2.1.1	
HMR_8570	EC:3.2.1.1	
HMR_8571	EC:3.2.1.1	
HMR_8572	EC:3.2.1.1	
HMR_8573	EC:3.2.1.1	
HMR_8574	EC:3.2.1.1	
HMR_8575	EC:3.2.1.1	
HMR_8576	EC:3.2.1.1	
HMR_8577	EC:3.2.1.1	
HMR_8578	EC:3.2.1.1	
HMR_8579	EC:3.2.1.1	
HMR_8581	EC:3.2.1.1	
HMR_8591	EC:3.2.1.20	
HMR_8592	EC:3.2.1.20	
HMR_8580	EC:3.2.1.1	
HMR_8582	EC:3.2.1.1	
HMR_8587	EC:3.2.1.20	
HMR_8589	EC:3.2.1.20	
HMR_8583	EC:3.2.1.3	
HMR_8584	EC:3.2.1.10	
HMR_8585	EC:2.7.1.106	
HMR_3944	EC:2.7.7.9	223665; 4433565; 4436332; 6318818; 6320876; 8612650
HMR_4128	EC:5.1.3.2	191453; 845161
HMR_4130	EC:2.7.1.6	
HMR_4131	EC:2.7.7.12	
HMR_4132	EC:2.7.7.12	10993714
HMR_4303	EC:3.2.1.10; EC:3.2.1.20; EC:3.2.1.48	12055199
HMR_4414	EC:2.7.1.6	8908517
HMR_4415	EC:3.2.1.23; EC:3.2.1.108	6786877
HMR_4416	EC:3.2.1.22; EC:3.2.1.23	3569296
HMR_4774	EC:2.7.1.11	131802; 1810251; 193556; 2987258; 6091737
HMR_4775	EC:2.7.1.11	131802; 1810251
HMR_4831	EC:1.1.99.13	
HMR_4832	EC:3.2.1.23	3109378
HMR_7674	EC:2.4.1.22	
HMR_8761	EC:2.7.1.3	
HMR_8762	EC:4.1.2.13	
HMR_8764	EC:3.2.1.108	
HMR_8766	EC:1.1.1.21	
HMR_8767	EC:2.7.7.12	
HMR_0454	EC:2.7.1.28	12125098
HMR_4297	EC:2.7.1.105	7506254; 7688733
HMR_4310	EC:2.7.1.3	2996495; 7833921
HMR_4315	EC:1.1.1.14	
HMR_4316	EC:1.1.1.21	
HMR_4317	EC:2.7.1.-	2211634
HMR_4318	EC:2.7.1.-	
HMR_4319	EC:2.7.1.1	16906315; 7061426; 7150652; 8717435
HMR_4320	EC:2.7.1.-	10085245
HMR_4356	EC:4.1.2.13	5114731; 5655259; 6054986
HMR_4383	EC:5.3.1.8	10571009; 12231825; 15033941; 2085314; 7702210; 8381960
HMR_4385	EC:5.4.2.8	10593562; 12889654; 15361947
HMR_4386	EC:2.7.7.22; EC:2.7.7.13	13876695
HMR_4387	EC:2.7.7.13	10025667; 8549746; 9451026
HMR_4399	EC:4.2.1.47	9893952
HMR_4400	EC:1.1.1.271	10410995; 2428310; 9603974
HMR_4401	EC:2.7.7.30	5646162; 6251080
HMR_4402	EC:2.7.1.52	12056818; 12413479
HMR_4403	EC:5.3.1.25	457669; 5050937
HMR_4490	EC:2.7.1.1	16906315; 7061426; 7150652; 8717435
HMR_4706	EC:3.1.3.46; EC:3.1.3.11	11245921; 12379646; 15170386; 15581487; 16316985; 2837207
HMR_8768	EC:1.1.1.271	
HMR_4590	EC:1.1.1.10	28341; 4397414; 6821187
HMR_4591	EC:1.1.1.15	13373783
HMR_4592	EC:1.1.1.21	
HMR_4593	EC:1.1.1.9	
HMR_4594	EC:1.1.1.179	
HMR_4595	EC:2.7.1.17	
HMR_8341	EC:1.1.1.21; EC:1.1.1.2	
HMR_8342		
HMR_8344		
HMR_8352		
HMR_8353		
HMR_8726		
HMR_8727	EC:2.4.1.117	
HMR_8728		
HMR_8729	EC:4.1.1.35	
HMR_6537	EC:1.1.1.2	1748675
HMR_1568	EC:1.2.1.4; EC:1.2.1.5	11790142; 2060039; 2549038; 4387261; 8155713; 8328987
HMR_3853	EC:4.4.1.5	
HMR_3854	EC:1.1.1.21	
HMR_3855	EC:1.1.1.21	
