@id	pmid	ec
HMR_3905	10868354; 12491384; 12818203; 14674758; 15289102; 15299346; 15327949; 15682493; 15713978	EC:1.1.1.1; EC:1.1.1.71
HMR_3907		EC:1.1.1.2
HMR_4097	10843999; 11150295; 2884217; 4737256; 5995	EC:6.2.1.1
HMR_4099	10843999; 11150295; 2884217; 4737256; 5995	EC:6.2.1.1
HMR_4108	10843999; 14086739; 238571; 2901103	EC:6.2.1.1
HMR_4133	10843999; 14086739; 238571; 2901103	EC:6.2.1.1
HMR_4137	11079566; 2643922; 8548923	EC:1.2.4.1; EC:2.3.1.12; EC:1.8.1.4; EC:1.2.1.51
HMR_4281	12042361; 17045662; 7449128; 9927705	EC:1.1.1.27
HMR_4388	12042361; 17045662; 7449128; 9927705	EC:1.1.1.27
HMR_4283	16411662; 2060039; 7779080; 8155713; 8605195; 9228057	EC:1.2.1.5
HMR_8357		EC:1.2.1.3
HMR_4379	12049998; 5667967	EC:2.7.1.11
HMR_4301	11945275; 4276999	EC:2.7.1.11
HMR_4355	10214945; 2198022; 4052378; 4084320; 6952783	EC:4.1.2.13
HMR_4358	1009117; 7154942	EC:2.7.1.40
HMR_4360	20958; 4383524; 4391087; 6014; 7107625; 7107626; 7144586; 7763257; 7993370	EC:1.2.1.49
HMR_4362		EC:2.7.9.2
HMR_4363	3536714; 7357031	EC:4.2.1.11
HMR_4365	2840859; 6322090; 9688259	EC:5.4.2.11
HMR_4368	367367; 4203909	EC:2.7.2.3
HMR_4370		EC:3.6.1.7
HMR_4371		EC:5.4.2.1; EC:5.4.2.4
HMR_4372		EC:3.1.3.13
HMR_4373	12027953; 14993695; 3370218; 7144574	EC:1.2.1.12
HMR_4375	10641038; 10797566; 12417303; 12676688; 1392515; 2752067	EC:4.1.2.13
HMR_4377	15295071; 214743; 3032541	EC:3.1.3.11
HMR_4381	2272676; 2843500	EC:5.3.1.9
HMR_4391	1168838; 15262334; 15522269; 1959537; 2339591	EC:5.3.1.1
HMR_4394	16906315; 7061426; 7150652; 8717435	EC:2.7.1.1; EC:2.7.1.2; EC:2.7.1.147
HMR_4396	600270	EC:5.4.2.2; EC:5.4.2.5; EC:5.4.2.6; EC:5.2.2.2
HMR_4521	12101013; 12485600; 1662952; 6291517; 6321405; 6935637	EC:3.1.3.9
HMR_6410	18032470; 2323578; 2748588	EC:1.2.4.1
HMR_6412	12108679; 14741190	EC:2.3.1.12
HMR_7745		EC:5.1.3.3
HMR_7746		EC:2.7.1.1; EC:2.7.1.2
HMR_7747		EC:2.7.1.147
HMR_7748		EC:5.3.1.9
HMR_7749		EC:5.3.1.9
HMR_8360		EC:1.11.1.6
HMR_8652		EC:3.1.3.9
HMR_8757		
HMR_3989	1885588; 2141837; 3128290; 6362728; 7358666	EC:3.2.1.20
HMR_4122	9737970; 9850599	EC:1.1.1.22
HMR_4837	5125320; 8222277; 8773341; 9427547	EC:3.2.1.28
HMR_5395	12133002; 4475632; 5810070	EC:2.4.1.186
HMR_5396	12133002; 4475632; 5810070	EC:2.4.1.11
HMR_9727		EC:2.4.1.11
HMR_5397	12133002; 4475632; 5810070	EC:2.4.1.18
HMR_5398	12133002; 4475632; 5810070	EC:2.4.1.1
HMR_5399	12133002; 4475632; 5810070	EC:2.4.1.25
HMR_5400	12133002; 4475632; 5810070	EC:3.2.1.33
HMR_5401	12133002; 4475632; 5810070	EC:2.4.1.1
HMR_8568		EC:3.2.1.1
HMR_8569		EC:3.2.1.1
HMR_8570		EC:3.2.1.1
HMR_8571		EC:3.2.1.1
HMR_8572		EC:3.2.1.1
HMR_8573		EC:3.2.1.1
HMR_8574		EC:3.2.1.1
HMR_8575		EC:3.2.1.1
HMR_8576		EC:3.2.1.1
HMR_8577		EC:3.2.1.1
HMR_8578		EC:3.2.1.1
HMR_8579		EC:3.2.1.1
HMR_8581		EC:3.2.1.1
HMR_8591		EC:3.2.1.20
HMR_8592		EC:3.2.1.20
HMR_8580		EC:3.2.1.1
HMR_8582		EC:3.2.1.1
HMR_8587		EC:3.2.1.20
HMR_8589		EC:3.2.1.20
HMR_8583		EC:3.2.1.3
HMR_8584		EC:3.2.1.10
HMR_8585		EC:2.7.1.106
HMR_3944	223665; 4433565; 4436332; 6318818; 6320876; 8612650	EC:2.7.7.9
HMR_4128	191453; 845161	EC:5.1.3.2
HMR_4130		EC:2.7.1.6
HMR_4131		EC:2.7.7.12
HMR_4132	10993714	EC:2.7.7.12
HMR_4303	12055199	EC:3.2.1.10; EC:3.2.1.20; EC:3.2.1.48
HMR_4414	8908517	EC:2.7.1.6
HMR_4415	6786877	EC:3.2.1.23; EC:3.2.1.108
HMR_4416	3569296	EC:3.2.1.22; EC:3.2.1.23
HMR_4774	131802; 1810251; 193556; 2987258; 6091737	EC:2.7.1.11
HMR_4775	131802; 1810251	EC:2.7.1.11
HMR_4831		EC:1.1.99.13
HMR_4832	3109378	EC:3.2.1.23
HMR_7674		EC:2.4.1.22
HMR_8761		EC:2.7.1.3
HMR_8762		EC:4.1.2.13
HMR_8764		EC:3.2.1.108
HMR_8766		EC:1.1.1.21
HMR_8767		EC:2.7.7.12
HMR_0454	12125098	EC:2.7.1.28
HMR_4297	7506254; 7688733	EC:2.7.1.105
HMR_4310	2996495; 7833921	EC:2.7.1.3
HMR_4315		EC:1.1.1.14
HMR_4316		EC:1.1.1.21
HMR_4317	2211634	EC:2.7.1.-
HMR_4318		EC:2.7.1.-
HMR_4319	16906315; 7061426; 7150652; 8717435	EC:2.7.1.1
HMR_4320	10085245	EC:2.7.1.-
HMR_4356	5114731; 5655259; 6054986	EC:4.1.2.13
HMR_4383	10571009; 12231825; 15033941; 2085314; 7702210; 8381960	EC:5.3.1.8
HMR_4385	10593562; 12889654; 15361947	EC:5.4.2.8
HMR_4386	13876695	EC:2.7.7.22; EC:2.7.7.13
HMR_4387	10025667; 8549746; 9451026	EC:2.7.7.13
HMR_4399	9893952	EC:4.2.1.47
HMR_4400	10410995; 2428310; 9603974	EC:1.1.1.271
HMR_4401	5646162; 6251080	EC:2.7.7.30
HMR_4402	12056818; 12413479	EC:2.7.1.52
HMR_4403	457669; 5050937	EC:5.3.1.25
HMR_4490	16906315; 7061426; 7150652; 8717435	EC:2.7.1.1
HMR_4706	11245921; 12379646; 15170386; 15581487; 16316985; 2837207	EC:3.1.3.46; EC:3.1.3.11
HMR_8768		EC:1.1.1.271
HMR_4590	28341; 4397414; 6821187	EC:1.1.1.10
HMR_4591	13373783	EC:1.1.1.15
HMR_4592		EC:1.1.1.21
HMR_4593		EC:1.1.1.9
HMR_4594		EC:1.1.1.179
HMR_4595		EC:2.7.1.17
HMR_8341		EC:1.1.1.21; EC:1.1.1.2
HMR_8342		
HMR_8344		
HMR_8352		
HMR_8353		
HMR_8726		
HMR_8727		EC:2.4.1.117
HMR_8728		
HMR_8729		EC:4.1.1.35
HMR_6537	1748675	EC:1.1.1.2
HMR_1568	11790142; 2060039; 2549038; 4387261; 8155713; 8328987	EC:1.2.1.4; EC:1.2.1.5
HMR_3853		EC:4.4.1.5
HMR_3854		EC:1.1.1.21
HMR_3855		EC:1.1.1.21
HMR_3857		EC:3.1.2.6
HMR_3859		EC:1.1.2.4
