@id	db_name	ext_id	link
HMR_3905	KEGG	R00754	https://identifiers.org/kegg.reaction:R00754
HMR_3905	BiGG	ALCD2x	https://identifiers.org/bigg.reaction:ALCD2x
HMR_3905	EHMN	R00754C	
HMR_3905	HepatoNET1	r0187	
HMR_3905	Recon3D	ALCD2if	https://identifiers.org/vmhreaction:ALCD2if
HMR_3905	MetaNetX	MNXR95725	https://identifiers.org/metanetx.reaction:MNXR95725
HMR_3905	HMR 2.0	HMR_3905	
HMR_3905	Ratcon	RCR11018	
HMR_3907	KEGG	R00746	https://identifiers.org/kegg.reaction:R00746
HMR_3907	BiGG	ALCD2y	https://identifiers.org/bigg.reaction:ALCD2y
HMR_3907	Recon3D	ALCD2yf	https://identifiers.org/vmhreaction:ALCD2yf
HMR_3907	MetaNetX	MNXR95726	https://identifiers.org/metanetx.reaction:MNXR95726
HMR_3907	HMR 2.0	HMR_3907	
HMR_3907	Ratcon	RCR11019	
HMR_4097	KEGG	R00235	https://identifiers.org/kegg.reaction:R00235
HMR_4097	BiGG	ACS	https://identifiers.org/bigg.reaction:ACS
HMR_4097	EHMN	R00235C	
HMR_4097	HepatoNET1	r0066	
HMR_4097	Recon3D	ACS	https://identifiers.org/vmhreaction:ACS
HMR_4097	MetaNetX	MNXR95413	https://identifiers.org/metanetx.reaction:MNXR95413
HMR_4097	HMR 2.0	HMR_4097	
HMR_4097	Ratcon	RCR10002	
HMR_4099	KEGG	R00235	https://identifiers.org/kegg.reaction:R00235
HMR_4099	BiGG	ACSm	https://identifiers.org/bigg.reaction:ACSm
HMR_4099	EHMN	R00235C	
HMR_4099	HepatoNET1	r0067	
HMR_4099	Recon3D	ACSm	https://identifiers.org/vmhreaction:ACSm
HMR_4099	MetaNetX	MNXR95413	https://identifiers.org/metanetx.reaction:MNXR95413
HMR_4099	HMR 2.0	HMR_4099	
HMR_4099	Ratcon	RCR10144	
HMR_4108	KEGG	R00236	https://identifiers.org/kegg.reaction:R00236
HMR_4108	EHMN	R00236C	
HMR_4108	HepatoNET1	r0068	
HMR_4108	Recon3D	r0068	https://identifiers.org/vmhreaction:r0068
HMR_4108	MetaNetX	MNXR105304	https://identifiers.org/metanetx.reaction:MNXR105304
HMR_4108	HMR 2.0	HMR_4108	
HMR_4108	Ratcon	RCR11020	
HMR_4133	KEGG	R00316	https://identifiers.org/kegg.reaction:R00316
HMR_4133	EHMN	R00316C	
HMR_4133	HepatoNET1	r0097	
HMR_4133	Recon3D	r0097	https://identifiers.org/vmhreaction:r0097
HMR_4133	MetaNetX	MNXR105307	https://identifiers.org/metanetx.reaction:MNXR105307
HMR_4133	HMR 2.0	HMR_4133	
HMR_4133	Ratcon	RCR11021	
HMR_4137	KEGG	R00209	https://identifiers.org/kegg.reaction:R00209
HMR_4137	BiGG	PDHm	https://identifiers.org/bigg.reaction:PDHm
HMR_4137	EHMN	R00209C	
HMR_4137	HepatoNET1	r0056	
HMR_4137	Recon3D	PDHm	https://identifiers.org/vmhreaction:PDHm
HMR_4137	MetaNetX	MNXR102425	https://identifiers.org/metanetx.reaction:MNXR102425
HMR_4137	HMR 2.0	HMR_4137	
HMR_4137	Ratcon	RCR10275	
HMR_4281	KEGG	R00703	https://identifiers.org/kegg.reaction:R00703
HMR_4281	EHMN	R00703C	
