@id	db_name	ext_id	link
s_0001	KEGG	C00965	https://identifiers.org/kegg.compound:C00965
s_0001	ChEBI	CHEBI:37671	https://identifiers.org/CHEBI:37671
s_0001	MetaNetX	MNXM6492	https://identifiers.org/metanetx.chemical:MNXM6492
s_0001	BiGG	13BDglcn	https://identifiers.org/bigg.metabolite:13BDglcn
s_0002	KEGG	C00965	https://identifiers.org/kegg.compound:C00965
s_0002	ChEBI	CHEBI:37671	https://identifiers.org/CHEBI:37671
s_0002	MetaNetX	MNXM6492	https://identifiers.org/metanetx.chemical:MNXM6492
s_0002	BiGG	13BDglcn	https://identifiers.org/bigg.metabolite:13BDglcn
s_0003	KEGG	C00965	https://identifiers.org/kegg.compound:C00965
s_0003	ChEBI	CHEBI:37671	https://identifiers.org/CHEBI:37671
s_0003	MetaNetX	MNXM6492	https://identifiers.org/metanetx.chemical:MNXM6492
s_0003	BiGG	13BDglcn	https://identifiers.org/bigg.metabolite:13BDglcn
s_0004	KEGG	C02493	https://identifiers.org/kegg.compound:C02493
s_0004	ChEBI	CHEBI:27380	https://identifiers.org/CHEBI:27380
s_0004	MetaNetX	MNXM9375	https://identifiers.org/metanetx.chemical:MNXM9375
s_0004	BiGG	16BDglcn	https://identifiers.org/bigg.metabolite:16BDglcn
s_0006	KEGG	C04807	https://identifiers.org/kegg.compound:C04807
s_0006	ChEBI	CHEBI:57602	https://identifiers.org/CHEBI:57602
s_0006	MetaNetX	MNXM1160	https://identifiers.org/metanetx.chemical:MNXM1160
s_0006	BiGG	2ahhmd	https://identifiers.org/bigg.metabolite:2ahhmd
s_0007	KEGG	C11514	https://identifiers.org/kegg.compound:C11514
s_0007	ChEBI	CHEBI:57470	https://identifiers.org/CHEBI:57470
s_0007	MetaNetX	MNXM3742	https://identifiers.org/metanetx.chemical:MNXM3742
s_0007	BiGG	aconm	https://identifiers.org/bigg.metabolite:aconm
s_0008	KEGG	C06007	https://identifiers.org/kegg.compound:C06007
s_0008	ChEBI	CHEBI:49258	https://identifiers.org/CHEBI:49258
s_0008	MetaNetX	MNXM1202	https://identifiers.org/metanetx.chemical:MNXM1202
s_0008	BiGG	23dhmp	https://identifiers.org/bigg.metabolite:23dhmp
s_0009	KEGG	C04411	https://identifiers.org/kegg.compound:C04411
s_0009	ChEBI	CHEBI:35121	https://identifiers.org/CHEBI:35121
s_0009	MetaNetX	MNXM891	https://identifiers.org/metanetx.chemical:MNXM891
s_0009	BiGG	3c2hmp	https://identifiers.org/bigg.metabolite:3c2hmp
s_0010	KEGG	C04236	https://identifiers.org/kegg.compound:C04236
s_0010	ChEBI	CHEBI:17214	https://identifiers.org/CHEBI:17214
s_0010	MetaNetX	MNXM1602	https://identifiers.org/metanetx.chemical:MNXM1602
s_0010	BiGG	3c4mop	https://identifiers.org/bigg.metabolite:3c4mop
s_0011	KEGG	C04236	https://identifiers.org/kegg.compound:C04236
s_0011	ChEBI	CHEBI:17214	https://identifiers.org/CHEBI:17214
s_0011	MetaNetX	MNXM1602	https://identifiers.org/metanetx.chemical:MNXM1602
s_0011	BiGG	3c4mop	https://identifiers.org/bigg.metabolite:3c4mop
s_0012	KEGG	C04593	https://identifiers.org/kegg.compound:C04593
s_0012	ChEBI	CHEBI:57429	https://identifiers.org/CHEBI:57429
s_0012	MetaNetX	MNXM1694	https://identifiers.org/metanetx.chemical:MNXM1694
