# TO BE USED TO INSERT MODEL ANNOTATIONS IN METABOLIC ATLAS DATABASE
# for REACTION ONLY
# annotations will be visible in the GEM browser pages and some can be used by the search engine
#
# some rules:
# this is a TAB separated file, thus TABs are not allowed in any field values
# each line added must have exactly 3 columns to be parsed properly
# do not modify the @ line
# column 'id' is mandatory, other columns are optional
# follow the max size limits
#
# columns description:
# column name    | description
# -----------------------------------------
# ec             | EC code, semicolon separated values
# pmid           | PMID, semicolon separated values
#
@id	ec	pmid
r_0001	EC:1.1.2.4; EC: 1.1.99.-	
r_0002	EC:1.1.2.4; EC: 1.1.99.-	
r_0003	EC:1.1.1.4	
r_0004	EC:1.1.2.3	
r_0005	EC:2.4.1.34	7649185
r_0006		8321211
r_0007	EC:5.3.1.16	
r_0012	EC:1.2.1.88	387737
r_0013	EC:1.13.11.54; EC: 3.1.3.77	14506228
r_0014	EC:3.5.4.26; EC: 5.4.99.28	9068650
r_0015	EC:1.1.1.302	9068650
r_0016	EC:2.2.1.6	8972574
r_0017	EC:2.5.1.15; EC: 2.7.6.3; EC: 4.1.2.25	
r_0018	EC:2.6.1.39; EC: 2.6.1.57; EC: 2.6.1.7	10714900; 19342587
r_0019	EC:1.1.1.169	
r_0020	EC:2.5.1.54	
r_0021	EC:1.14.13.-; EC: 2.1.1.114; EC: 2.1.1.201; EC: 2.1.1.64; EC: 2.7.-.-	15792955
r_0022	EC:1.14.13.-; EC: 2.1.1.114; EC: 2.1.1.201; EC: 2.1.1.64; EC: 2.7.-.-	15792955
r_0023	EC:4.2.1.33	3071717
r_0024	EC:2.3.3.13	6090272
r_0025	EC:2.3.3.13	6090272
r_0026		14506228
r_0027	EC:4.2.1.36	5908136
r_0028	EC:2.3.3.1	16332871
r_0029	EC:2.6.1.42	
r_0030	EC:2.6.1.42	
r_0032	EC:3.1.3.7	7809627
r_0033	EC:3.1.4.17; EC: 3.1.4.53	
r_0034	EC:3.1.4.53	
r_0035	EC:3.1.4.53	
r_0036	EC:3.1.4.53	
r_0037	EC:3.1.4.53	
r_0038	EC:4.1.99.12	12595523
r_0039	EC:1.1.1.25; EC: 2.5.1.19; EC: 2.7.1.71; EC: 4.2.1.10; EC: 4.2.3.4	
r_0040	EC:1.1.1.25; EC: 2.5.1.19; EC: 2.7.1.71; EC: 4.2.1.10; EC: 4.2.3.4	6355828
r_0041	EC:1.1.1.102	18296751; 9804843
r_0042	EC:2.5.1.54	2880280
r_0043		15792955
r_0044		15792955
r_0045	EC:3.7.1.3	
r_0057	EC:1.1.1.n12; EC: 4.2.1.119	
r_0058	EC:1.13.11.6	9539135
r_0059	EC:2.1.1.145	15147181
r_0060	EC:4.2.1.33	3071717
r_0061	EC:1.1.1.85	6297759
r_0062	EC:4.1.1.-; EC: 4.1.1.1; EC: 4.1.1.43; EC: 4.1.1.74	12902239
r_0063	EC:2.1.2.11	
r_0064	EC:4.1.1.-; EC: 4.1.1.1; EC: 4.1.1.43; EC: 4.1.1.74	12902239
r_0065	EC:1.1.1.25; EC: 2.5.1.19; EC: 2.7.1.71; EC: 4.2.1.10; EC: 4.2.3.4	6355828
r_0066	EC:2.6.1.85	
r_0067	EC:4.1.3.38	
r_0068	EC:2.6.1.19	10590462
r_0069	EC:4.2.3.1	8082795
r_0070		11583838
r_0072	EC:4.1.1.-	12902239
r_0073	EC:2.7.4.21; EC: 2.7.4.24; EC: 3.6.1.52; EC: 3.6.1.60	17412958
r_0074	EC:2.7.4.21	17412958
r_0075	EC:2.4.2.28	14506228
r_0076	EC:3.1.3.-	11934891; 23670538
r_0077	EC:3.1.3.99	12735798
r_0078	EC:3.1.3.-	11934891; 23670538
r_0079	EC:6.3.5.3	
r_0080	EC:1.5.1.20	21623372
r_0081	EC:2.3.1.37	
r_0082	EC:3.6.1.52; EC: 3.6.1.60	10419486
r_0083	EC:2.7.4.21	11956213
r_0084	EC:6.3.3.2	
r_0085	EC:2.1.1.14	3542720
r_0086		14506228
r_0087		14506228
r_0088	EC:2.7.4.21; EC: 2.7.4.24	17412958
r_0089	EC:2.7.4.21; EC: 2.7.4.24	17412958
r_0090	EC:2.7.1.105	
r_0091	EC:3.1.1.31	14454532
r_0092	EC:2.7.4.21; EC: 2.7.4.24; EC: 3.6.1.52; EC: 3.6.1.60	17412958
r_0093	EC:2.7.4.21	17412958
r_0094		16269718
r_0095	EC:4.1.1.-; EC: 4.1.1.1; EC: 4.1.1.43; EC: 4.1.1.74	12902239
r_0096	EC:1.1.1.86	8972574
r_0097	EC:2.2.1.6	8972574
r_0099		15387819
r_0100	EC:2.3.1.16	
r_0101	EC:2.3.1.16	
r_0102	EC:2.3.1.16	
r_0103	EC:2.3.1.9	
r_0104	EC:2.3.1.9	
r_0105	EC:2.3.1.16	
r_0106	EC:2.3.1.16	
r_0107	EC:2.3.1.16	
r_0108	EC:6.3.4.14; EC: 6.4.1.2	14761959
r_0109	EC:6.3.4.14	
r_0111	EC:3.1.2.1	
r_0112	EC:6.2.1.1	8910545
r_0113	EC:6.2.1.1	
r_0114	EC:6.2.1.1	16857587
r_0115	EC:1.2.1.38; EC: 2.7.2.8	
r_0116	EC:3.1.3.2	13405892
r_0117	EC:4.2.1.79	16332871
r_0118	EC:2.6.1.11	
r_0119	EC:2.7.8.7	
r_0120	EC:1.3.3.6	
r_0121	EC:1.3.3.6	
r_0122	EC:1.3.3.6	
r_0123	EC:1.3.3.6	
r_0124	EC:1.3.3.6	
r_0125	EC:1.3.3.6	
r_0126	EC:2.3.1.26	10672016
r_0127	EC:2.3.1.26	10672016
r_0128	EC:2.3.1.26	10672016
r_0129	EC:2.3.1.26	10672016
r_0130	EC:2.3.1.26	10672016
r_0131	EC:2.3.1.26	10672016
r_0132	EC:2.3.1.26	10672016
r_0133	EC:2.3.1.26	10672016
r_0134	EC:2.3.1.26	10672016
r_0135	EC:2.3.1.26	10672016
r_0137	EC:2.3.-.-	12714589
r_0138	EC:3.5.4.2	
r_0139	EC:2.4.2.7	9864350
r_0140	EC:3.5.4.2	
r_0142	EC:2.7.1.20	
r_0143	EC:3.5.4.6	
r_0144	EC:3.3.1.1	15556636
r_0145	EC:4.1.1.50	3087344
r_0146	EC:2.6.1.62	
r_0147	EC:4.6.1.1	
r_0148	EC:2.7.4.3	
r_0149	EC:2.7.4.10	
r_0150	EC:2.7.4.10	
r_0151	EC:4.3.2.2	
r_0152	EC:4.3.2.2	
r_0153	EC:6.3.4.4	
r_0154	EC:2.7.1.25	1654509
r_0155	EC:3.1.4.37	10734185
r_0156	EC:2.6.1.44	
r_0157	EC:6.1.1.7	7761427
r_0158	EC:2.3.1.84	12957907
r_0159	EC:2.3.1.84	12957907
r_0160	EC:2.3.1.84	12957907
r_0161	EC:2.3.1.84	12957907
r_0162	EC:2.3.1.84	12957907
r_0163	EC:1.1.1.1	12702265
r_0164	EC:1.1.1.-; EC: 1.1.1.21	12210903
r_0165	EC:1.1.1.1	12499363
r_0166	EC:1.1.1.-; EC: 1.1.1.1; EC: 1.1.1.284	12702265
r_0167	EC:1.1.1.1	12499363
r_0168	EC:1.1.1.-; EC: 1.1.1.2	12210903; 12423374
r_0169	EC:1.1.1.-; EC: 1.1.1.1; EC: 1.1.1.284	12702265
r_0170	EC:1.1.1.1	12499363
r_0171	EC:1.1.1.2	11742541; 12423374
r_0172	EC:1.2.1.3	12586697
r_0173	EC:1.2.1.4	15256563
r_0174	EC:1.2.1.5	15256563
r_0175	EC:1.2.1.5	15256563
r_0176	EC:1.2.1.5	
r_0177	EC:1.2.1.4	
r_0178	EC:1.2.1.5	9675847
r_0179	EC:1.1.1.-; EC: 1.1.1.1; EC: 1.1.1.284	12702265
r_0180	EC:1.1.1.1	12499363
r_0181	EC:1.1.1.2	11742541; 12423374
r_0182	EC:1.1.1.-; EC: 1.1.1.1; EC: 1.1.1.284	12702265
r_0183	EC:1.1.1.1	12499363
r_0184	EC:1.1.1.2	11742541; 12423374
r_0185	EC:1.2.1.3	8801420
