@id	db_name	ext_id	link
r_0001	KEGG	R00197	https://identifiers.org/kegg.reaction:R00197
r_0001	MetaNetX	MNXR138960	https://identifiers.org/metanetx.reaction:MNXR138960
r_0001	BiGG	D_LACDcm	https://identifiers.org/bigg.reaction:D_LACDcm
r_0002	KEGG	R00197	https://identifiers.org/kegg.reaction:R00197
r_0002	MetaNetX	MNXR138960	https://identifiers.org/metanetx.reaction:MNXR138960
r_0002	BiGG	D_LACDm	https://identifiers.org/bigg.reaction:D_LACDm
r_0003	KEGG	R02946	https://identifiers.org/kegg.reaction:R02946
r_0003	MetaNetX	MNXR107844	https://identifiers.org/metanetx.reaction:MNXR107844
r_0003	BiGG	BTDD_RR	https://identifiers.org/bigg.reaction:BTDD_RR
r_0004	KEGG	R00196	https://identifiers.org/kegg.reaction:R00196
r_0004	MetaNetX	MNXR138959	https://identifiers.org/metanetx.reaction:MNXR138959
r_0004	BiGG	L_LACD2cm	https://identifiers.org/bigg.reaction:L_LACD2cm
r_0005	KEGG	R03118	https://identifiers.org/kegg.reaction:R03118
r_0005	MetaNetX	MNXR143499	https://identifiers.org/metanetx.reaction:MNXR143499
r_0007	KEGG	R04640	https://identifiers.org/kegg.reaction:R04640
r_0007	MetaNetX	MNXR103169	https://identifiers.org/metanetx.reaction:MNXR103169
r_0007	BiGG	PRMICI	https://identifiers.org/bigg.reaction:PRMICI
r_0012	KEGG	R00707	https://identifiers.org/kegg.reaction:R00707
r_0012	MetaNetX	MNXR102301	https://identifiers.org/metanetx.reaction:MNXR102301
r_0012	BiGG	P5CDm	https://identifiers.org/bigg.reaction:P5CDm
r_0014	KEGG	R09377	https://identifiers.org/kegg.reaction:R09377
r_0014	MetaNetX	MNXR112805	https://identifiers.org/metanetx.reaction:MNXR112805
r_0014	BiGG	DRTPPD	https://identifiers.org/bigg.reaction:DRTPPD
r_0015	KEGG	R09376	https://identifiers.org/kegg.reaction:R09376
r_0015	MetaNetX	MNXR112804	https://identifiers.org/metanetx.reaction:MNXR112804
r_0016	KEGG	R08648	https://identifiers.org/kegg.reaction:R08648
r_0016	MetaNetX	MNXR95260	https://identifiers.org/metanetx.reaction:MNXR95260
r_0016	BiGG	ACHBSm	https://identifiers.org/bigg.reaction:ACHBSm
r_0017	KEGG	R03503	https://identifiers.org/kegg.reaction:R03503
r_0017	MetaNetX	MNXR100694	https://identifiers.org/metanetx.reaction:MNXR100694
r_0018	KEGG	R01939	https://identifiers.org/kegg.reaction:R01939
r_0018	MetaNetX	MNXR95160	https://identifiers.org/metanetx.reaction:MNXR95160
r_0018	BiGG	AATA	https://identifiers.org/bigg.reaction:AATA
