id	acetate	adipic_acid	alanine	amorphadiene	ara	arginine	artemisinic_acid	asparagine	aspartate	astaxanthin	beta_amyrin	beta_carotene	beta_ionone	betaxanthin	caffeic_acid	catechin	choline	cinnamate	cinnamoyltropine	cis_muconate	citrate	citrulline	coumaric_acid	cysteine	dha	docosanol	epa	ergosterol	ergothioneine	farnesene	ffas	fumaric_acid	genistein	geraniol	glutamate	glutamine	glutathione	glycerol	glycine	glycolate	glycyrrhetinic_acid	hexanoate	histidine	homoserine	hydroxymandelic_acid	hypoxanthine	isobutanol	isoleucine	itaconic_acid	kaempferol	l_pac	lactate	laurate	leucine	limonene	linalool	lupeol	lycopene	lysine	malate	mandelic_acid	methionine	methylbutanol	miltiradiene	n_butanol	naringenin	nicotianamine	nootkatone	oleanolate	oleate	ornithine	oxoglutarate	palmitoleate	patchoulol	phenylalanine	phenylethanol	proline	protopanaxadiol	psilocybin	putrescine	pyruvate	quercetin	resveratrol	rosmarinic_acid	rrbutanediol	s_reticuline	salidroside	santalene	serine	spermine	squalene	succinate	taxadien_acetate	threonine	triacylglycerol	tryptophan	tyrosine	tyrosol	valencene	valine	vanillin_glucoside	xanthine
Q0045																																																																																	1.00																					
Q0080																																														1.00																																																								
Q0085																																														1.00																																																								
Q0105																																														1.00																																																								
Q0130																																														1.00																																																								
Q0250																																																																																	1.00																					
Q0275																																																																																	1.00																					
YAL012W																																																																																							0.00											0.00				
YAL022C																																																																																																						
YAL023C																																																																																																						
YAL038W				1.00		1.00	1.00	1.00			1.00						1.00					1.00	1.00							1.00	1.00	1.00		1.00		1.00	1.00					1.00		1.00					1.00		1.00	1.00		1.00	1.00				1.00	1.00			1.00		1.00				1.00	1.00			1.00				1.00			1.00	1.00			1.00	1.00			1.00			1.00			1.00								
YAL044C																																							0.00															0.00					0.00				0.40																																							
YAL054C	0.00																																																																																																					
YAL060W																																																																																																						
YAL062W																																								0.40																																															0.00											0.00				
YAR015W																																														1.00																																																								1.00
YAR035W																																																																																																						
YAR071W																																																																																																						
YBL011W																																																																																																						
YBL013W																																																																																																						
YBL015W																																																																																																						
YBL030C																																																																																																						
YBL033C									0.40																																																																																													
YBL039C																																																																																																						
YBL042C																																																																																																						
YBL045C																																														1.00																																																								
YBL064C																																																																																																						
YBL068W																																																																																																						
YBL076C																																																																																																						
YBL098W					1.00																				1.00		1.00																																																																											
YBL099W																																																																																																						
YBR002C																																																																																																						
YBR003W																																																																																																						
YBR004C																																																																																																						
YBR006W																																																																																																						
YBR011C																																																																																																						
YBR018C																																																																																																						
YBR019C																																																																																																						
