# TO BE USED TO INSERT MODEL ANNOTATIONS IN METABOLIC ATLAS DATABASE
# for GENES ONLY
# annotations will be visible in the GEM browser pages and some can be used by the search engine
#
# some rules:
# this is a TAB separated file, thus TABs are not allowed in any field values
# each line added must have exactly 7 columns to be parsed properly
# do not modify the @ line
# column 'id' is mandatory, other columns are optional
# follow the max size limits
#
# columns description:
# column name        | description
# ---------------------------------------------
# name               | primary name/symbol of the gene
# alternate_name     | long name or full name of the gene
# aliases            | list of aliases, semi-colon separated values
# function           | text about the function, can describe multiple functions
# ec                 | EC code, semi-colon separated values
# catalytic_activity | text about the catalytic activity
#
@id	name	alternate_name	aliases	function	ec	catalytic_activity
ENSG00000047410	TPR	translocated promoter region, nuclear basket protein				
ENSG00000058804	NDC1	NDC1 transmembrane nucleoporin	FLJ10407; NET3; TMEM48			
ENSG00000085415	SEH1L	SEH1 like nucleoporin	SEC13L; SEH1A; SEH1B; Seh1			
ENSG00000094914	AAAS	aladin WD repeat nucleoporin				
ENSG00000101146	RAE1	ribonucleic acid export 1	Gle2; Mnrp41			
ENSG00000119392	GLE1	GLE1 RNA export mediator	GLE1L; LCCS1; hGLE1			
ENSG00000153207	AHCTF1	AT-hook containing transcription factor 1	ELYS			
ENSG00000157020	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component	D3S1231E; SEC13L1; SEC13R; npp-20			
ENSG00000157349	DDX19B	DEAD-box helicase 19B	DBP5; DDX19			
ENSG00000196313	POM121	POM121 transmembrane nucleoporin	DKFZP586G1822; DKFZP586P2220; KIAA0618; POM121A			
ENSG00000183463	URAD	ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase	PRHOXNB			
ENSG00000164466	SFXN1	sideroflexin 1	FLJ12876; SLC56A1			
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	CDGIE; MPDS			
ENSG00000000938	FGR	FGR proto-oncogene, Src family tyrosine kinase	c-fgr; p55c-fgr; SRC2			
